brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating
ASUS,VivoBook,Intel,Core i3,10th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,40990,49990,18,4.4
DELL,Vostro,Intel,Core i3,10th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,41790,54784,23,0
Lenovo,Ideapad,Intel,Core i3,11th,4  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,Yes,Yes,57999,85000,31,3.4
DELL,Inspiron,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,45930,58229,21,0
HP,Pavilion,Intel,Core i3,11th,8  GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,55490,65853,15,4.3
ASUS,VivoBook,Intel,Core i3,10th,8  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,14.1,1,No,No,32890,46990,30,3.9
Lenovo,IdeaPad,Intel,Core i3,10th,8  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,35990,57290,37,4
DELL,Inspiron,Intel,Core i3,11th,8  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42490,50693,16,4
DELL,Vostro,Intel,Core i3,11th,8  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,42190,44780,5,3.9
DELL,Vostro,Intel,Core i3,10th,8  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39490,54517,27,4
HP,15s,Intel,Core i3,11th,8  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,43690,48933,10,4.1
ASUS,VivoBook,Intel,Core i3,10th,4  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,35990,48990,26,3.8
DELL,3000,Intel,Core i3,11th,8  GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,43800,55506,21,4.2
Lenovo,IdeaPad,Intel,Core i3,10th,8  GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,38990,55890,30,0
ASUS,VivoBook,Intel,Core i3,10th,4  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,34990,40990,14,3.7
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,38900,51990,25,3.9
DELL,Inspiron,Intel,Core i3,10th,4  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,39990,55534,27,3.8
DELL,INSPIRON,Intel,Core i3,10th,4  GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,40890,45990,11,4
Lenovo,IdeaPad,Intel,Core i3,10th,4  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,36990,57990,36,3.7
HP,15s,Intel,Core i3,11th,4  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,39990,45514,12,3.9
HP,IdeaPad,Intel,Core i3,11th,4  GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,41990,47264,11,4
DELL,IdeaPad,Intel,Core i3,11th,4  GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,43970,46138,4,3.9
